FileID,Start,End,Start,End,Start,End,Start,End,Start,End
ZoFZ1SEqVY0,0.132,0.869,1.107,1.858,2.237,2.705,,,,
fwqlFWrZnok,7.087,10.000,,,,,,,,
Sxi1v2Edin0,2.419,4.977,6.919,7.597,,,,,,
3dKSeoGR1z4,0.770,5.778,,,,,,,,
_nHfZ3eN-gI,1.648,2.219,,,,,,,,
DXSHDq3P0Hc,NO Laughter,,,,,,,,,
MtZ4-X236yw,3.390,4.176,5.362,6.949,8.460,9.569,,,,
JspiHIcMpPs,1.833,2.542,,,,,,,,
JaNVr8rZ-Wc,5.331,6.733,,,,,,,,
KyuGOQ6LwJE,3.53,6.6,,,,,,,,
ZMdci4B8qsA,1.432,3.235,,,,,,,,
5PHiDtGhd6s,3.343,10.000,,,,,,,,
dAtTDnzYAog,1.294,3.189,4.483,6.502,7.873,9.953,,,,
6ADdMhrIZc0,3.775,4.391,6.533,9.970,,,,,,
_8Q5sRCe8Gc,3.713,9.800,,,,,,,,
LSLH3IA1fNM,2.252,3.204,4.684,9.106,,,,,,
8UQZWCYEipU,0.755,4.946,,,,,,,,
QzVg5Mo2VZs,1.402,10.000,,,,,,,,
78DZ3enrEP4,3.605,5.301,,,,,,,,
aWFPdroghvY,0.070,6.590,8.703,9.168,,,,,,
-5AwGn04sAU,1.410,2.521,4.344,8.561,,,,,,
ZZ0nFRaH71o,2.064,2.681,8.382,8.859,,,,,,
bWb8zrWoZU8,3.975,6.056,,,,,,,,
MdCSz2cZQUM,0.077,5.300,8.413,9.892,,,,,,
LSPwquBitbU,3.065,4.806,6.887,7.396,,,,,,
0vw9f02o1UU,0.955,3.651,,,,,,,,
tuLts9DhQ7c,1.479,2.342,3.729,4.222,5.331,9.338,,,,
FGc9Zt1MXng,NO Laughter,,,,,,,,,
VoSU30CMd1Q,1.541,8.568,,,,,,,,
2c470XOGvp4,0.909,1.525,,,,,,,,
eFqlz_f0fZo,1.664,7.441,,,,,,,,
2Sb7U9QFkPI,7.319,8.076,,,,,,,,
1JZe-d8yQmI,4.576,5.485,8.274,10.000,,,,,,
GWW0crROtdg,0.046,2.049,5.008,6.564,,,,,,
8IqgniV-tVQ,3.559,8.243,,,,,,,,
9GdSA3KnYOU,2.711,4.992,7.534,10.000,,,,,,
XgB8a79-X0c,0.100,0.400,4.515,6.318,,,,,,
Lu9fYcc6O14,1.287,2.912,5.576,6.937,,,,,,
U2RdTbD6qf8,0.061,0.770,2.727,3.7900,,,,,,
WTk0uxyJ694,3.913,4.745,,,,,,,,
ZWwCQMCcJTs,3.559,4.237,,,,,,,,
AEw2McqLRQY,4.884,5.685,7.349,8.490,,,,,,
nGH6n0MyYps,5.717,6.194,,,,,,,,
QAJ5Nva-fyk,9.338,10.000,,,,,,,,
gTni0wOlklQ,0.092,0.200,,,,,,,,
OVYm1vm5sIQ,6.375,8.070,,,,,,,,
BAEG3OtEf3s,2.525,2.840,,,,,,,,
xqrwCyRTV-g,2.450,10.000,,,,,,,,
guD3o7aspko,2.511,8.536,,,,,,,,
EGv45MzlFPw,1.525,2.249,8.382,10,,,,,,
YN6P6q9uLao,0.061,1.078,,,,,,,,
iezPv97ySrY,5.531,7.18,9.445,10,,,,,,
8JHp3-PFnU0,9.445,10,,,,,,,,
Vpu6mMAuCXQ,0.616,10,,,,,,,,
MVrdEa0sZRg,3.605,4.314,6.703,10,,,,,,
Car0lM48TTI,0.046,10,,,,,,,,
Gi9FEkxB5RM,0.431,7.026,,,,,,,,
XfYs2pF5W9M,0.2,9.106,,,,,,,,
OVW2Fuo4NhU,6.532,10,,,,,,,,
z-ZAH-1udRQ,8.305,9.784,,,,,,,,
jeVVP_r1uW8,0,5.485,6.425,10,,,,,,
qeTxMkKb4sQ,3.636,4.766,,,,,,,,
gBwpkAegHOM,3.143,10,,,,,,,,
TbVY4mkp-9o,0.264,7.438,,,,,,,,
tt3PN0HQMNs,0.154,2.034,4.33,5.347,,,,,,
t6lgshRc0Go,0.862,3.127,5.793,6.918,,,,,,
m78FLtzht9Y,1.463,2.835,5.254,6.549,,,,,,
bAETe5ioJ30,8.983,10,,,,,,,,
Ja5ewU_57eY,0.184,3.204,,,,,,,,
zeYOrryTz-0,0.77,3.76,6.164,7.196,9.338,10,,,,
j4PyRSS5KhQ,0.246,5.67,6.718,7.658,,,,,,
WQwiDeicdKk,6.379,9.615,,,,,,,,
o0eeuJlK__k,6.826,8.074,,,,,,,,
oqFAPH3FrIA,0.431,1.54,,,,,,,,
wYCrIwkFkOA,3.174,9.645,,,,,,,,
Q816N0WJ214,0,1.417,3.698,10,,,,,,
24Qn65Eliz0,2.481,3.197,5.886,10,,,,,,
dcPIGsnBYKg,3.991,5.825,8.675,10,,,,,,
_ce714koI2U,NO Laughter,,,,,,,,,
cLFSpQXS9Mw,0.6,6.21,8.845,10,,,,,,
xp4I_mj9ozY,4.53,9.23,,,,,,,,
5-LO6dUCiJ4,3.667,4.822,,,,,,,,
3yShrSi_g2I,4.052,5.963,5.716,10,,,,,,
2Hp1AvKRiOA,0.68,6.778,8.768,9.708,,,,,,
UztmdVutiqE,8.814,9.816,,,,,,,,
wBO1gBQo6Yo,0.138,2.696,3.698,5.069,9.383,10,,,,
P2rZ2y8FAls,NO Laughter,,,,,,,,,
8qsjlzvgaZM,3.038,5.816,,,,,,,,
NKccnideb8E,1.34,3.066,4.637,5.362,,,,,,
fduaEf7W9ic,2.926,10,,,,,,,,
ETOorNNFxFw,0,6.734,,,,,,,,
E4qT_AvQiVQ,7.658,8.999,,,,,,,,
alD68zoIf6g,8.027,10,,,,,,,,
FvmWB20IUaM,NO Laughter,,,,,,,,,
U44bT7LuPpk,1.694,3.405,,,,,,,,
aQD7sos_QXs,0,1.556,4.468,6.965,,,,,,
uSCALDGcV-c,0.616,2.003,,,,,,,,
ZqkUY7Vetsg,0.662,6.595,,,,,,,,
Qg2JNUMLSgc,2.018,4.284,8.814,10,,,,,,
UfqZYTJX5-k,0,1.71,,,,,,,,
Dm6_T2Atzuk,NO Laughter,,,,,,,,,
ZV3eYs9K72Y,7.534,8.813,,,,,,,,
B_48uj-xdw4,0.77,5.331,8.645,10,,,,,,
g3FuSch-rkg,7.581,10,,,,,,,,
eObxou-x9vs,1.463,2.249,4.853,6.363,,,,,,
qvAN9Kiy2pA,6.733,9.353,,,,,,,,
xZ27Q9bqqrQ,0.847,1.771,8.983,10,,,,,,
v-HJmvAsajg,1.463,2.665,4.098,4.8,,,,,,
9kBvHiHHtoM,7.103,7.799,,,,,,,,
AID3T_UP-L0,1.032,2.65,3.251,5.902,7.427,10,,,,
Qon10uDF0WA,5.855,7.535,,,,,,,,
TkViGLeioF0,1.386,1.772,5.039,5.747,,,,,,
hysBUIFXquE,7.366,8.213,,,,,,,,
ha8CT4nfwh8,3.867,5.747,,,,,,,,
AyIlE11FD9o,3.189,3.944,5.208,6.718,,,,,,
UdeaxjtefbQ,2.665,5.809,8.044,9.261,,,,,,
b3N84QSODwY,0,6.61,7.627,10,,,,,,
qilVdOks5WY,3.805,6.117,7.92,10,,,,,,
sb4ElU_JxJM,7.719,9.245,,,,,,,,
4pUiO6uQU40,NO Laughter,,,,,,,,,
8f1xOTxXI2w,0,4.93,5.809,8.582,9.291,10,,,,
pmuWbFJcca0,1.818,3.867,4.823,6.118,,,,,,
ivwPtkoe-vU,1.032,2.835,,,,,,,,
ULFpT7PNN38,8.121,9.292,,,,,,,,
KLUS3C6ry30,2.188,3.713,6.765,7.997,8.413,9.723,,,,
D53KMfZZm2s,5.732,7.073,,,,,,,,
wfl2ll7QPfA,NO Laughter,,,,,,,,,
ZkArrP1DKCY,1.371,2.619,,,,,,,,
ngAEUfF76Po,0,2.111,3.821,10,,,,,,
kEyRKV7Wm88,NO Laughter,,,,,,,,,
PZ1jCV5xThk,3.334,4.202,4.983,6.347,,,,,,
FcPaxEeaGJE,1.063,2.095,4.083,9.029,,,,,,
vzJOMUqQMPo,6.271,10,,,,,,,,
Y93DPiQQ0Ak,0.292,1.047,,,,,,,,
_u1UqkHfS6o,NO Laughter,,,,,,,,,
Z-Ne-RquYD0,8.413,9.105,,,,,,,,
ixuLO0I33U4,1.617,2.711,3.929,5.654,,,,,,
dCpZ94BAPI0,NO Laughter,,,,,,,,,
dCpZ94BAPI0,NO Laughter,,,,,,,,,
sbZ5Ls141fg,0,1.725,4.885,6.117,8.86,10,,,,
bYEJF500cr8,8.306,9.538,,,,,,,,
19uyW5r4LgI,NO Laughter,,,,,,,,,
VJbRtrKSN54,0,10,,,,,,,,
Jk1bxDsUn_c,1.463,2.434,5.995,6.333,,,,,,
7B-JapFFo68,5.624,6.241,,,,,,,,
w9PYNTIgaqI,NO Laughter,,,,,,,,,
_k2hN2MlHoA,1.155,3.051,8.306,9.107,,,,,,
azvDUDCEuOM,0,5.085,6.965,10,,,,,,
jCkM2VSZyh0,0.046,1.448,2.342,3.189,,,,,,
maGNW9ByedU,1.155,5.562,6.905,10,,,,,,
7eRQXGEjypA,NO Laughter,,,,,,,,,
hOua7RdPg38,0.862,1.895,3.79,8.953,,,,,,
stEsCkzBNDo,8.275,10,,,,,,,,
H1rDvOSDJfY,0.107,2.44,6.518,7.227,,,,,,
NUCNRQByrdY,4.606,5.208,,,,,,,,
LNZS0Ge-izE,2.28,7.503,,,,,,,,
0cIAYwY_cno,0.323,1.094,3.852,4.746,,,,,,
s_9TqVhYqj4,6.872,7.427,,,,,,,,
wzf5PtxCdgY,3.205,4.407,,,,,,,,
1Eb_BTzbRKI,2.573,7.163,9.183,10,,,,,,
HIO0NcAPD-s,8.49,10,,,,,,,,
01TbXvFheiY,0,1.124,,,,,,,,
S-NJ5GMSmvc,1.094,7.504,,,,,,,,
55cDQffhucw,1.232,2.249,9.368,10,,,,,,
CPIwovAzC2o,8.413,10,,,,,,,,
LXLLDcSi7ck,0,1.926,8.675,10,,,,,,
vgX8de9QnuQ,3.698,8.998,,,,,,,,
2khX2UCLZKs,0.169,1.448,5.315,6.117,,,,,,
1y-5sN_HSWA,0.77,1.479,,,,,,,,
d7j7lYqobpw,0,2.65,7.087,7.781,,,,,,
vqSemDSJ2Jw,2.989,4.006,,,,,,,,
B9vmwTPLQm0,1.309,2.342,7.72,8.167,,,,,,
AS5es0r698I,6.764,7.442,,,,,,,,
9Wvv3ZJL4VA,6.256,10,,,,,,,,
R5lxAsESWgM,0.847,1.147,4.622,5.238,7.426,10,,,,
Cue3fy5QMjI,NO Laughter,,,,,,,,,
BIUfg127DZ4,6.302,7.455,,,,,,,,
lPhEI3aDd9o,1.833,4.653,,,,,,,,
E5N-lMJb9dw,3.297,4.284,6.287,6.872,,,,,,
gLzQdo7-P2k,0.493,1.186,,,,,,,,
cgsUPDhVFKg,8.182,10,,,,,,,,
fassVZb44Vw,0.477,2.342,,,,,,,,
cDwleRigKMM,0.153,6.831,,,,,,,,
5vpXiK2P_44,6.086,7.997,,,,,,,,
9S5pbCQfW2o,0,3.266,,,,,,,,
YxJ0tJByv0A,1.926,4.761,7.503,10,,,,,,
ocxwcO50X4A,0.677,4.884,7.519,10,,,,,,
wNczVtrEh5A,4.53,10,,,,,,,,
PwDGFjEcOiE,3.482,6.086,,,,,,,,
XyIAPpcvVro,2.973,3.728,6.764,8.212,,,,,,
3bm17p9ITz8,2.111,2.85,8.691,10,,,,,,
BHL1hcFmB60,1.061,4.984,,,,,,,,
IStcumOxJg0,8.937,10,,,,,,,,
4L_ccYE_24M,NO Laughter,,,,,,,,,
NAkgIjxP1aE,2.449,6.579,,,,,,,,
UFjiEHJzHSg,0,0.7,,,,,,,,
oWfBvKgMv0o,1.52,2.452,3.542,4.187,7.772,8.375,,,,
9Ei46s8QL0A,5.439,10,,,,,,,,
o69UVZJRrbc,NO Laughter,,,,,,,,,
84dWm3rm504,0.000 ,7.172,8.539,9.154,,,,,,
fsbZTOUPYGA,1.729,3.007,,,,,,,,
NeONjDSKMrs,4.071,6.187,,,,,,,,
jGux08AmWBw,0.430 ,1.89,6.283,8.216,,,,,,
ax1GBzj5s_8,6.241,7.282,,,,,,,,
RvQGRHNibr8,9.302,10.032,,,,,,,,
71rMtURSqDs,2.567,4.436,5.22,6.358,6.637,7.819,8.248,9.698,,
iwZ28tzXKRk,3.759,4.704,5.134,7.872,,,,,,
WYbz54iBWF4,1.718,4.242,5.871,7.375,,,,,,
sGpSVEoKlyI,NO Laughter,,,,,,,,,
m1F-s4GrXeA,4.425,7.464,,,,,,,,
mf3Sm4MMvv0,5.939,8.076,,,,,,,,
lrc34Vwal5k,2.674,3.684,3.738,4.887,4.941,6.627,,,,
_547JTmvb9g,0.945,1.579,2.17,4.619,5.832,10.032,,,,
CDejWyOd7FQ,0.000 ,0.980 ,2.909,4.742,,,,,,
HhP-q7Hc3o0,3.233 ,5.477 ,,,,,,,,
Oc9azgD3RJ8,NO Laughter,,,,,,,,,
bVLrcpJTT9M,1.714,3.578,,,,,,,,
bH-3ttSqXhU,NO Laughter,,,,,,,,,
0taZldxMK1Q,0.000 ,0.23,1.052,2.116,8.259,10.031,,,,
4OXqmhij5fg,1.396,4.737,,,,,,,,
sjAKBnCgKt8,,,,,,,,,,
-defuBDcq-o,,,,,,,,,,
Yot3JAqpUEc,,,,,,,,,,
b3eDEslB94c,,,,,,,,,,
6PjC9sMqGT0,,,,,,,,,,
UBvoC7u2-YY,,,,,,,,,,
nnC-y6sgcs4,,,,,,,,,,
3vY34tmF4UI,,,,,,,,,,
RmGGiQMURcQ,,,,,,,,,,
Y4KAkfJBznM,,,,,,,,,,
z0xbyPhHBbs,,,,,,,,,,
9grtLEqt_RM,,,,,,,,,,
VmKrg4ctW5M,,,,,,,,,,
TJUUXvxEWBE,,,,,,,,,,
BY-FIDHIZ0U,,,,,,,,,,
RCe9ercXpTw,,,,,,,,,,
RVfwsH_9ezw,,,,,,,,,,
2MJ083qunsE,,,,,,,,,,
vbI1ZrIVXmU,,,,,,,,,,
hY1QRCEc4L8,,,,,,,,,,
DOotwwASsNE,,,,,,,,,,
mLXeCv5h09Y,,,,,,,,,,
y-buftBOpUk,,,,,,,,,,
HerVIPs80jE,,,,,,,,,,
r-J8NcBK0TY,,,,,,,,,,
_DUtIl0iV-U,,,,,,,,,,
8jjI_pWqhpY,,,,,,,,,,
dhCMl8GqBnA,,,,,,,,,,
i_7Hz_BSqzs,,,,,,,,,,
8xDTZMYfa6g,,,,,,,,,,
udjpvALBE04,,,,,,,,,,
Wvx4WtwJ8GY,,,,,,,,,,
X91X7-PVfBY,,,,,,,,,,
Ao0n1cqfFDw,,,,,,,,,,
ENzTDB3pXmk,,,,,,,,,,
YJAYmN7RGaY,,,,,,,,,,
dffMKxesOHw,,,,,,,,,,
e8Lm-kPvGSw,,,,,,,,,,
TGaCJPImdOs,,,,,,,,,,
6mXQ7dS8Pf0,,,,,,,,,,
oV9GCIYs3DQ,,,,,,,,,,
7nfAny7po8U,,,,,,,,,,
f_7rHJFGu9M,,,,,,,,,,
-4hvX2WDpQ4,,,,,,,,,,
5j71dIQqtgg,,,,,,,,,,
DIRkICyFmj8,,,,,,,,,,
FMcTI4xXu4c,,,,,,,,,,
9ObYgZi_Bjw,,,,,,,,,,
qV3PnHE3qB4,,,,,,,,,,
mjwPOoEga5o,,,,,,,,,,
CqEssopmvX4,,,,,,,,,,
TJ0ckiby05s,,,,,,,,,,
55fiHaTdTPQ,,,,,,,,,,
lsbY7yoa88M,,,,,,,,,,
mC1j3Q_ktvg,,,,,,,,,,
7pelqXwD_l4,,,,,,,,,,
vGxupaVrj0Y,,,,,,,,,,
BUWWY_qJUDM,,,,,,,,,,
CpqX_eohHsU,,,,,,,,,,
sBE5Dng4UBE,,,,,,,,,,
wPhOwUnWCLY,,,,,,,,,,
ZBnIrKg2gnY,,,,,,,,,,
V9CM39gYX7I,,,,,,,,,,
_-ZzseISkus,,,,,,,,,,
V-G5GKiEKdY,,,,,,,,,,
6etBkhuLIyc,,,,,,,,,,
2aUwppJluJE,,,,,,,,,,
fK4QBQZ6i7w,,,,,,,,,,
VxvdzuN93QQ,,,,,,,,,,
YWLJv2SgCEI,,,,,,,,,,
nG_MiPR4qbY,,,,,,,,,,
UwNmMewIp1U,,,,,,,,,,
ItRCa5RJBX8,,,,,,,,,,
kykRU_67e94,,,,,,,,,,
GSlm_V0XDAA,,,,,,,,,,
o-LT4nvygWw,,,,,,,,,,
aKpPu1wgZDI,,,,,,,,,,
m4iQLMluW94,,,,,,,,,,
BuIMVqz85uk,,,,,,,,,,
5AFKEd8nSpg,1.684,3.029,5.078,6.588,7.183,9.761,,,,
wVLgovBQkrM,0.712,1.525,8.851,9.043,,,,,,
r9earOROw0I,1.353,10.024,,,,,,,,
Q8jcGXRJu5Y,7.081,7.735,,,,,,,,
Izg45qsbYAw,0.034,0.749,,,,,,,,
PaSQoDiF9q4,3.282,3.619,,,,,,,,
mQ0ZEKTDW4w,5.609,5.81,8.633,8.874,,,,,,
aiUZMBUc6RM,0.047,6.451,9.55,10.023,,,,,,
P8swocrwnnw,5.647,6.511,,,,,,,,
ytK5ONSpYLQ,0.051,1.046,2.236,3.161,4.859,9.687,,,,
RerfgviIZGk,5.045,10.022,,,,,,,,
xwQE_69dbgQ,1.155,9.075,,,,,,,,
p7oucErkxGY,1.312,1.758,6.186,9.047,,,,,,
fbi4V1w_0jY,4.146,7.921,8.809,10.023,,,,,,
8kvAdUSm5BY,1.902,4.253,6.937,8.701,,,,,,
a99GrFKHcWo,0.811,1.707,4.039,5.472,7.748,10.022,,,,
k-UaEdq1W14,5.422,5.948,,,,,,,,
Iw9ni3FSmls,0.981,9.908,,,,,,,,
dD5qAp01vj8,0.193,7.363,8.478,10.016,,,,,,
hnbpLHcoOYw,7.387,10.024,,,,,,,,
7WEyBfAKebg,7.525,10.025,,,,,,,,
3aQVRDFiF78,6.794,7.188,,,,,,,,
s2sgpPK3x0M,9.409,10.025,,,,,,,,
rs2FL8HJfGE,2.497,8.333,,,,,,,,
Dd4Me904NPw,0.445,7.622,,,,,,,,
AQjai34MyUg,0.254,0.996,1.919,3.363,,,,,,
oBUsgakZZx8,4.406,4.685,8.808,9.649,,,,,,
a9b-A21adA4,0.142,9.998,,,,,,,,
_lWJ5Raa9jc,0.113,1.335,,,,,,,,
OtVnklZgn-o,2.623,10.026,,,,,,,,
s-AgmYNOV3E,5.375,5.505,,,,,,,,
mWqH2xwjkYA,0.055,10.026,,,,,,,,
ZZ3W_qp1VqU,2.876,4.354,,,,,,,,
A2Pol9d6Mvk,3.334,4.476,6.393,8.435,9.542,10.025,,,,
smOfZYlK4b4,0.237,5.261,7.043,10.021,,,,,,
5MZYUwiSfVg,0.041,1.612,2.981,5.102,7.063,9.329,,,,
ls-sLN0hMO4,0.507,1.999,,,,,,,,
WWbOVIhEgUM,0.057,5.817,,,,,,,,
3ciaKt72a18,1.657,3.277,,,,,,,,
GUmibVaYgDY,2.354,4.139,,,,,,,,
dTLQe8xDAT0,0.772,10.018,,,,,,,,
Z2wnecZIOpw,0.042,10.023,,,,,,,,
0ZlVKMl3qyw,2.019,9.427,,,,,,,,
PcSKMxflV2k,0.034,0.993,7.741,9.705,,,,,,
nViZXuFG48k,NO Laughter,,,,,,,,,
cAvrpgP1OU4,1.337,2.459,6.443,10.028,,,,,,
hpQo9zQHHPA,6.471,8.432,,,,,,,,
KvHY_StVb1g,0.206,9.964,,,,,,,,
s7TgQ8sjSuQ,0.048,2.302,,,,,,,,
IyCI810sGLs,8.879,9.861,,,,,,,,
Ex3UBu_Tps8,0.089,10.021,,,,,,,,
olXsjzz317U,0.537,2.008,6.737,7.344,,,,,,
F2NMrKvbcTc,0.598,7.132,,,,,,,,
1yOaHPaw60Q,3.647,7.018,,,,,,,,
qa1SyZNkdmM,3.397,5.742,,,,,,,,
QlOn4Ds855U,0.97,3.953,7.844,10.018,,,,,,
5WNZy3VrmCI,4.904,5.912,8.807,10.021,,,,,,
BpUDSH5vxTU,5.434,5.476,,,,,,,,
2MHujpwIl8c,2.889,5.454,7.022,8.397,,,,,,
vtxar2ffZAE,7.393,8.452,,,,,,,,
PKSzqOYAAsA,0.045,9.939,,,,,,,,
RZUUESPZlB8,0.036,10.023,,,,,,,,
yB4XQ81oqsQ,2.489,4.254,5.141,10.023,,,,,,
KMOwz-gwgW8,3.635,10.022,,,,,,,,
qhe2uaej1Ek,1.391,2.497,,,,,,,,
cVdrQ8bIOeA,2.057,2.708,6.799,10.025,,,,,,
HCbQ46el70g,4.541,4.711,,,,,,,,
o1fYEOeC2Tk,0.884,2.831,, ,,,,,,
SDCtdj5ETAc,0.054,10.022,,,,,,,,
3fGA82xboe0,3.486,3.781,,,,,,,,
FOmVsNdtV4I,4.451,6.367,,,,,,,,
3dQ5rZpK5U4,1.615,2.967,7.343,7.888,,,,,,
W1bXMGZ-akM,2.921,10.024,,,,,,,,
Gkr72mVvXOI,1.718,3.106,6.287,7.451,8.298,8.957,,,,
UW7ioxBkBvc,6.211,7.991,,,,,,,,
9vhmc1YIZpA,1.876,4.275,8.247,8.691,,,,,,
CjPlMp0ToQc,0.051,8.832,,,,,,,,
8ao-wTtdQhA,4.166,5.787,,,,,,,,
WFsYuDEnMaU,3.802,5.973,,,,,,,,
qC1dRt16Kgg,2.125,3.526,7.326,8.057,9.265,9.919,,,,
rq03iPVSG2o,0.183,10.024,,,,,,,,
UsDs5xPiXFU,0.057,3.551,5.078,8.317,,,,,,
AW3uVtWzpFk,0.681,10.024,,,, ,,,,
d9ZLbpMqcKA,0.308,0.564,3.146,5.911,8.318,8.508,,,,
_lWKSo_MziU,0.409,7.997,,,,,,,,
rKW8_GrRAzQ,8.555,10.025,,,,,,,,
DWAb_kAkK2o,2.081,4.198,5.927,8.816,,,,,,
QCP0qLOICec,0.874,6.447,,,,,,,,
jmZsJBxRitw,1.621,2.929,,,,,,,,
obWlEkBrmzg,0.045,6.231,,,,,,,,
ehryvTV27Hw,0.456,4.538,5.956,10.027,,,,,,
cMzm9vDp6JU,5.399,6.794,,,,,,,,
f6p8pycbNYM,0.816,1.325,,,,,,,,
e5F_bLZEbvw,5.427,10.022,,,,,,,,
tGDTT_arhbU,1.723,2.444,5.598,10.024,,,,,,
crLxhUOneHI,4.909,10.023,,,,,,,,
AF0CtMb81t8,4.137,4.783,6.348,9.996,,,,,,
_JbiEnjU-6c,1.898,6.011,,,,,,,,
k1k6qyl8uZU,1.198,1.803,,,,,,,,
