FileID,Start,End,Start,End,Start,End,Start,End,Start,End
dYtG-i2TJJY,0.046,3.685,8.611,10.025,,,,,,
tJ5w2F1B1R8,9.252,9.755,,,,,,,,
sZRik7ic4kM,3.836,4.336,5.913,6.722,,,,,,
7fbnTIAorYU,1.785,2.605,7.109,8.181,,,,,,
dhUZ5u-zeoM,0.103,1.066,4.201,5.7,6.023,8.835,,,,
anuk8BWzgxM,0.334,1.401,7.923,9.628,,,,,,
Kuv2LrLpD1E,0.3,4.327,5.423,6.802,9.337,10.024,,,,
Z3POdYMoARY,0.575,1.6,2.598,3.411,8.598,9.344,,,,
1C8MLki8pR4,2.963,3.75,7.887,8.649,,,,,,
AlIwXPhHfyY,9.667,10.028,,,,,,,,
qglX6R20gJU,5.554,5.959,,,,,,,,
-4kV3ulsTJc,0.850 ,5.204,5.71,6.274,8.803,10.027,,,,
quKo5yTE1D8,1.406,1.774,,,,,,,,
YmYNZJ3Jrpo,0.495,0.696,,,,,,,,
1K01dSq_RSo,0.04,0.723,8.612,9.416,,,,,,
1FoeNUWL_rE,7.61,9.060 ,,,,,,,,
7dpBqF_GopM,1.376,3.031,4.805,5.873,,,,,,
ieo9HFddvqU,0.588,3.055,3.982,5.521,8.237,9.625,,,,
jlZWiX3Iqsc,1.321,1.863,,,,,,,,
7tvEbjPfpZg,3.483,5.229,,,,,,,,
FqzeCJV0kyQ,0.032,3.245,,,,,,,,
7ibcwk78YMA,1.755,4.306,,,,,,,,
HLay8gvNJWI,2.456,3.310 ,4.839,5.987,8.179,9.027,,,,
-w1s7Hf-IP0,3.673,6.235,,,,,,,,
OzAzRA-b7gM,2.125,2.614,,,,,,,,
nyl0dSjaJI4,0.047,3.777,4.849,5.513,6.984,8.408,8.702,10.031,,
37hqUFpvl6A,0.559,1.888,9.623,10.013,,,,,,
mYAK8RZNLj8,,,,,,,,,,
ywBiC82Lld4,,,,,,,,,,
qjBH1PtNbgY,,,,,,,,,,
TQMQvgurnRw,,,,,,,,,,
AdIypGonhkQ,,,,,,,,,,
j4VRLAln754,,,,,,,,,,
JcWq9vZQ8Zg,,,,,,,,,,
HDZ0wrCXv5c,,,,,,,,,,
puWOGixqFfI,,,,,,,,,,
h_jGZ4GbeLk,,,,,,,,,,
Q1dde1cLvrI,,,,,,,,,,
7t3ST-gb2Iw,,,,,,,,,,
iKjQTwNoJTQ,,,,,,,,,,
yhJl8f8psug,,,,,,,,,,
sE9fZUVJ340,,,,,,,,,,
siYGJq_uvL8,,,,,,,,,,
HveoxIhZi48,,,,,,,,,,
EwT19mYhRxQ,,,,,,,,,,
BJ5IY71t0Ec,,,,,,,,,,
3_55uw_ZdXM,,,,,,,,,,
mSTHICFPkv8,,,,,,,,,,
P7Vfzyf1XFA,,,,,,,,,,
Mp5Bg1dZnRs,,,,,,,,,,
AN60q9nSnMk,,,,,,,,,,
3UEzas-2YSE,,,,,,,,,,
L9oVp-nMJZ0,,,,,,,,,,
9PUP4vh-Whc,,,,,,,,,,
onoNn2BQf4E,,,,,,,,,,
76kVWkYoaKc,,,,,,,,,,
YDZdJ08B8ow,,,,,,,,,,
UlFKxmfvE7Q,,,,,,,,,,
auN4S16GiUo,,,,,,,,,,
jTzu-7J4kKE,,,,,,,,,,
KyQI28cgyOE,,,,,,,,,,
Mtb2lUNEykI,,,,,,,,,,
A7qS6N7Nf1w,,,,,,,,,,
ra_d7hYEKXQ,,,,,,,,,,
7UvS6lGHAig,,,,,,,,,,
kN06AK8F69U,,,,,,,,,,
nFY1_x4Y1Jc,,,,,,,,,,
EwbkEvoQqIA,,,,,,,,,,
kQUs7oUvLRA,,,,,,,,,,
pblI33b8l8o,,,,,,,,,,
UvqewMAOuTo,,,,,,,,,,
caehFH3iXpo,,,,,,,,,,
6xlV_D4yJDc,,,,,,,,,,
llboC9cnHZQ,,,,,,,,,,
yvTdjNMksJM,,,,,,,,,,
BwAFO43PC7k,,,,,,,,,,
ku79UKCzrpE,,,,,,,,,,
uueL8JwXf50,,,,,,,,,,
wP_qbpj34eA,,,,,,,,,,
VP-sUUDt3MM,,,,,,,,,,
R94ri2N1Axs,,,,,,,,,,
QvUVNT7Vqd8,,,,,,,,,,
8P5KX_Pu854,,,,,,,,,,
dVFvvkVCBC8,,,,,,,,,,
Zp2XXOQJ1vo,,,,,,,,,,
h8quqZR0CT8,,,,,,,,,,
ubt4wZTuWvw,,,,,,,,,,
-vuG8mxLDfs,,,,,,,,,,
kNYWUsbwnv4,,,,,,,,,,
qxgJKGq6uwA,,,,,,,,,,
VJ9E_Td0_dk,,,,,,,,,,
-Elrv1A-wmM,,,,,,,,,,
3f6f20UkVmM,,,,,,,,,,
_LyX0W1PAgw,,,,,,,,,,
B1nOIHzg3s4,,,,,,,,,,
auC_LgwFF8g,,,,,,,,,,
lDEWMw7lbWg,,,,,,,,,,
xBjb5VwIo-I,,,,,,,,,,
DDoj17bOxps,,,,,,,,,,
iGrqyz07Mp8,,,,,,,,,,
PhBbjuhFHFo,,,,,,,,,,
YqqFMP32S-A,5.318,5.776,9.849,10.025,,,,,,
-J-26OD2Qr0,0.039,1.373,9.879,9.922,,,,,,
MbXTTqy_dA0,9.326,10.022,,,,,,,,
_siCCC2og5A,1.765,2.695,4.441,6.985,8.628,10.021,,,,
kPcMXf_nPPU,2.448,3.587,,,,,,,,
TM9rc0zFmTc,0.052,1.405,4.811,5.128,9.617,10.022,,,,
oYdWhb0eTh4,0.039,4.092,,,,,,,,
Q4t3lSzjYEY,0.428,7.199,,,,,,,,
JR0F7A42yRU,3.406,5.475,6.234,6.538,8.886,9.935,,,,
ep1vC7M68Ro,2.815,5.415,,,,,,,,
T4KG_cWNgs8,5.085,5.396,7.191,9.726,,,,,,
ULlApJooXnU,7.162,9.282,,,,,,,,
b3QWaD4Cy8M,2.929,9.138,,,,,,,,
aT3b4INWCAo,0.528,2.993,,,,,,,,
cFjdY5KkcxU,3.255,3.359,9.045,10.021,,,,,,
u9c3J_hRMEY,3.391,6.081,,,,,,,,
XKla1jr5K0U,6.504,8.331,,,,,,,,
_V8Z79_n9qE,0.092,7.194,,,,,,,,
EhCilHVTXY8,0.741,0.867,,,,,,,,
JxuBS3wDuTE,1.867,3.995,,,,,,,,
b3Ucx5JmMlw,4.507,5.771,,,,,,,,
hu8EaXuYXus,1.278,5.689,7.401,9.403,,,,,,
yomSc8gxbSc,3.554,5.175,,,,,,,,
eBoYyxGxu9c,7.738,8.529,,,,,,,,
FJYtfDaul-Q,5.914,9.962,,,,,,,,
CNZ1QCOg58s,1.693,7.331,9.115,9.956,,,,,,
4AqmCOZP1zg,0.217,9.876,,,,,,,,
9rYMJr--heQ,0.061,10.021,,,,,,,,
Qz0EG07EU_0,2.883,5.355,,,,,,,,
ccn1AvP_UnM,0.164,3.218,5.215,6.335,,,,,,
qyzt7i-faAM,0.038,10.019,,,,,,,,
ObLRKSNVrh4,7.993,9.786,,,,,,,,
B98wkZ6Mt4U,0.051,10.024,,,,,,,,
5GuegDzCgw4,4.421,6.732,,,,,,,,
DuCPGAHfxjI,8.981,10.024,,,,,,,,
Lb30PEc6a70,5.625,7.998,,,,,,,,
SqUsPzfwYno,5.053,6.184,8.698,9.601,,,,,,
9kPuCyiDVqE,5.758,10.023,,,,,,,,
ocNHPhhUUus,2.129,8.883,,,,,,,,
yBVehT0fx1U,1.817,3.548,5.931,6.175,,,,,,
NyiAT1Giu9A,0.051,0.929,1.489,4.336,7.994,9.581,,,,
BXWWHXp00ls,0.045,10.025,,,,,,,,
IIc1kF_a47I,0.051,10.021,,,,,,,,
SJym7L3ESXA,1.924,2.211,,,,,,,,
sl1MkTiYIWM,0.058,5.851,,,,,,,,
4hOXlcm1mDc,0.298,2.835,5.743,6.546,,,,,,
xo_OAa7DgK8,0.356,0.613,2.414,3.128,5.044,6.108,7.929,8.473,,
QvSoTeKT-jI,0.047,0.545,,,,,,,,
OEaVwIyOKaQ,6.163,6.636,,,,,,,,
1TbSN_-W8Lg,0.248,9.325,,,,,,,,
QPrMSt2Yz98,2.228,2.615,7.218,7.876,,,,,,
dzw90QYk27g,2.555,3.179,,,,,,,,
ZYpGqHLTh6k,2.517,3.543,6.141,7.214,9.199,10.019,,,,
IXskfvyWhvg,5.557,6.562,,,,,,,,
fNC-Ug3Ilug,7.357,9.283,,,,,,,,
y-Z33QXsLWU,0.747,1.945,5.248,5.996,,,,,,
by3bOMQRKvE,1.987,10.022,,,,,,,,
5_ci99GzDsU,0.054,0.938,1.271,1.576,,,,,,
yK7tFxqiwzY,0.055,7.912,,,,,,,,
JH5AkG-_ed0,1.769,2.525,4.268,4.439,,,,,,
4epl0cI2-Ew,1.098,3.888,,,,,,,,
StlA0hfJCqM,0.909,1.311,,,,,,,,
G2wYdSa3cCk,0.037,10.022,,,,,,,,
COKY7L55Qag,2.254,2.589,4.502,6.233,7.161,7.799,8.772,9.325,,
NADg1fdf6Y8,0.047,1.036,3.901,10.021,,,,,,
Oy6P88XIOvs,5.805,6.682,9.411,10.017,,,,,,
7Ke9X53j1Rc,0.924,10.017,,,,,,,,
sMNsUYXNbpA,1.798,3.098,5.886,6.919,,,,,,
Me-nW_AryqQ,0.054,10.023,,,,,,,,
htmuNeT0_8M,5.061,8.879,,,,,,,,
H36ivy_-2_M,0.133,0.629,2.651,7.897,,,,,,
Q0QweJ-e6no,2.074,2.315,6.648,7.807,,,,,,
f8WvXUb5W0Y,0.663,10.024,,,,,,,,
_kXKKxPQkk4,0.136,10.023,,,,,,,,
pIA8ExXOJ9k,2.749,10.025,,,,,,,,
yMHnzpWkpGY,0.056,2.583,4.126,10.026,,,,,,
uOu5aalETFo,7.683,10.017,,,,,,,,
Dto3eicO0zo,0.041,0.985,6.401,6.817,9.605,10.021,,,,
zJxqIiKd3wM,0.042,0.378,8.229,8.639,,,,,,
sLHYvqfduwU,1.455,5.761,,,,,,,,
h17WQzijZME,2.876,3.191,,,,,,,,
K7zQcM8-IJM,5.308,6.481,7.134,8.036,,,,,,
aTgD1u25sNE,2.081,2.378,,,,,,,,
HoQkWNwc7mk,0.874,10.025,,,,,,,,
S9Dml-ioESk,6.537,10.025,,,,,,,,
saAxrAw-pNU,0.649,0.796,1.807,2.481,4.993,9.969,,,,
-z-1R1VxTZo,6.427,9.071,,,,,,,,
QfJh9vda4YI,7.376,9.207,,,,,,,,
r6b6KrFFCik,0.051,10.015,,,,,,,,
USlCCt8En7A,7.437,8.971,,,,,,,,
sTrqiBbExhs,0.366,5.867,,,,,,,,
mPNvz9Wj-Nw,2.023,3.112,4.622,5.689,7.208,8.884,,,,
F7OvCyPoEMM,2.523,3.832,8.139,10.023,,,,,,
pwr4CjY3kwY,2.001,2.948,3.763,4.339,5.813,6.484,,,,
ZKfwENg2PhU,0.054,10.023,,,,,,,,
hHtDTcXgKvw,0.041,2.491,6.796,10.018,,,,,,
hZeuXax7w9k,9.013,10.017,,,,,,,,
iKFFkD5KTGs,2.875,3.426,5.286,5.666,8.323,9.367,,,,
TYS0vFAnB4Q,7.022,8.817,,,,,,,,
fbWtQ2GWKDk,0.469,1.108,,,,,,,,
4-FmRITNo1M,,,,,,,,,,
c4_AaYfdxMI,,,,,,,,,,
KohhvyrKGaw,,,,,,,,,,
wDtMc1sHx0I,,,,,,,,,,
3C5aNXYX7OM,,,,,,,,,,
Z_AKpY3q8M0,,,,,,,,,,
rqd9JJ2iEFY,,,,,,,,,,
xdjA0WWAmi4,,,,,,,,,,
gq7ZBPNN2yQ,,,,,,,,,,
KtA4hiq5FBk,,,,,,,,,,
5XKAszJ9h8o,,,,,,,,,,
xMUsiQ8nxIM,,,,,,,,,,
mp7zoHTp-ro,,,,,,,,,,
JbdXry_8Oh4,,,,,,,,,,
Tqd7YTwQAWs,,,,,,,,,,
5Y1Fi6KWvYM,,,,,,,,,,
XS-fvurw7hA,,,,,,,,,,
h4c4r3cYjGM,,,,,,,,,,
l9XkKJGIiAo,,,,,,,,,,
K9_jvU3WG90,,,,,,,,,,
ijJg9KA_zw4,,,,,,,,,,
zqyRZiQG0OE,,,,,,,,,,
Axpt1fGQiKE,,,,,,,,,,
0IpjEqzfvdY,,,,,,,,,,
Y735cxoG5-4,,,,,,,,,,
vhb_dDwMCGQ,,,,,,,,,,
HM09kwJSbyk,,,,,,,,,,
7ARVgI_wx5Y,,,,,,,,,,
SYW7v21e5Lk,,,,,,,,,,
d0VnBP36O9w,,,,,,,,,,
hcI8rwJX04w,,,,,,,,,,
7HAhIIdg69c,,,,,,,,,,
v9DhSUQbmMA,,,,,,,,,,
uZ2jEu_qONc,,,,,,,,,,
wcRpKta00nY,,,,,,,,,,
YnM8I76SWY8,,,,,,,,,,
Y8rAQEx0BJo,,,,,,,,,,
KX82TFIhkBU,,,,,,,,,,
vMSjr7OtlzI,,,,,,,,,,
w-BpdU227dI,,,,,,,,,,
3ifbvZO4S6s,,,,,,,,,,
o8LPsj3hgPc,,,,,,,,,,
bgl8r_eRI1I,,,,,,,,,,
YHC_3D6bSqI,,,,,,,,,,
y7Evz9SD8MA,,,,,,,,,,
zl6T-7zzQd0,,,,,,,,,,
k-raxJuPXKg,,,,,,,,,,
YnRvyf7Jmt8,,,,,,,,,,
5eihlm59U4Q,,,,,,,,,,
gijTb49Pwyc,,,,,,,,,,
X8c8FDdhKbA,,,,,,,,,,
bpwsd9wZiKk,,,,,,,,,,
eg4QmXoWA8s,,,,,,,,,,
ptOLbOTYh3M,,,,,,,,,,
qgi1e6I2EVU,,,,,,,,,,
lCGEittF80c,,,,,,,,,,
9-MR9ee7V98,,,,,,,,,,
crqHIFytTNI,,,,,,,,,,
oQPypgY6gn8,,,,,,,,,,
lJ9Dbwz-MXk,,,,,,,,,,
mJgULzfw0aU,,,,,,,,,,
Ez_Q-DLuWfM,,,,,,,,,,
QJd4ZiCc7zU,,,,,,,,,,
SG3UEJYa298,,,,,,,,,,
FDCETc0FXq4,,,,,,,,,,
NULglzkuJD0,,,,,,,,,,
35twa_Mflb4,,,,,,,,,,
1zZupqiYDCs,,,,,,,,,,
_4HKv8Mhqyw,,,,,,,,,,
ZcZYEojbaPo,,,,,,,,,,
6vR0uox4iOk,,,,,,,,,,
xRCQuuTRDqA,,,,,,,,,,
R3U_bjnVyHo,,,,,,,,,,
AsbkqTYadPw,,,,,,,,,,
1yw6rD8p9rI,,,,,,,,,,
rnfFooB5NZA,,,,,,,,,,
Jwo-2ljdpXk,,,,,,,,,,
GfXOTHsXxfY,,,,,,,,,,
0nfvljVJo14,,,,,,,,,,
BgMMbz6zDzc,,,,,,,,,,
4gfLeTZOmu8,,,,,,,,,,
52y_0oUYQps,,,,,,,,,,
oVSoTOnFGV8,,,,,,,,,,
p4DCD5HQjnw,,,,,,,,,,
Wtcq4hUciM0,,,,,,,,,,
IHCrpZ6izPQ,,,,,,,,,,
kTLGvp3VFO0,,,,,,,,,,
MhoKYk_TaII,,,,,,,,,,
78aQzV_MJWE,,,,,,,,,,
YRmA1BoqXsc,,,,,,,,,,
fDLyhmA3Bxs,,,,,,,,,,
b0_KkxWiRWE,,,,,,,,,,
TibcKCZEDGQ,,,,,,,,,,
Lc24bYwlPjA,,,,,,,,,,
KvCk1wsB9IA,,,,,,,,,,
YU1T92otSY0,,,,,,,,,,
fl4vi9x9acs,,,,,,,,,,
mK2Z7uQkag0,,,,,,,,,,
f1K25n87vJU,,,,,,,,,,
Cqhx56KJFCg,,,,,,,,,,
stEBTHdA0j0,,,,,,,,,,
-ThUDfEiCUw,,,,,,,,,,
qR3fJNSRvJ8,,,,,,,,,,
OidRwhN8UWo,,,,,,,,,,
JuEIkNoxbN4,,,,,,,,,,
aoNUCasKjoA,,,,,,,,,,
TB02v2AfdbE,,,,,,,,,,
nzEo59X-j10,,,,,,,,,,
kY9d7K4MXDw,,,,,,,,,,
fS14ZwUF_TM,,,,,,,,,,
8u16dnwSrjs,,,,,,,,,,
b3ByvFGRSRY,,,,,,,,,,
vDhJ3s-6Odk,,,,,,,,,,
Wpmy1XWWt_w,,,,,,,,,,
AxbidyMn0gQ,,,,,,,,,,
6y2qUFBuZtU,,,,,,,,,,
XPD0WgFfzXA,,,,,,,,,,
IeSRyZwMGKA,,,,,,,,,,
W5jD255HJMM,,,,,,,,,,
LP_OqFGPY8k,,,,,,,,,,
91Yfzb8a1ow,,,,,,,,,,
r15ZSm3UpeQ,,,,,,,,,,
hk_yA5qLh8w,,,,,,,,,,
sYouNLLNZ_Q,,,,,,,,,,
jNR3El0eBZc,,,,,,,,,,
GhP4Vy8Gqgs,,,,,,,,,,
pybpK4api6U,,,,,,,,,,
14Y72r4KHos,,,,,,,,,,
NfAEXcoty7o,,,,,,,,,,
epe_M7kaSwk,,,,,,,,,,
HWmpRwucLbY,,,,,,,,,,
wGBYlR12XP0,,,,,,,,,,
UsYQwxgUTdI,,,,,,,,,,
yYSgqCC4Vek,,,,,,,,,,
P4qIUsnyr9g,,,,,,,,,,
WxPghkcuhuE,,,,,,,,,,
XA3tLA0SaIc,,,,,,,,,,
IufrxOtapVA,,,,,,,,,,
-QgDuU3hUYQ,,,,,,,,,,
UKxwpmKWNAg,,,,,,,,,,
xTTHf44kHyM,,,,,,,,,,
nUBOpndM8qM,,,,,,,,,,
uAzg4PDcyyE,,,,,,,,,,
va4kuPaFtb8,,,,,,,,,,
RWLNxj6qGUs,,,,,,,,,,
Z4vDkLwCdNI,,,,,,,,,,
ODEQzbUQH0A,,,,,,,,,,
1uyZNb7V7Bs,,,,,,,,,,
fxL2VXuPDxg,,,,,,,,,,
arOcf_3MYPQ,,,,,,,,,,
W_GRkwbZOw8,,,,,,,,,,
xWs3njVJ9Zw,,,,,,,,,,
eexRPQwz2GM,,,,,,,,,,
1P2Diy8eV-w,,,,,,,,,,
c0V_HAul7rI,,,,,,,,,,
-4yy61BH-O8,,,,,,,,,,
_0vGPOwom7M,,,,,,,,,,
uVYbXz54yq8,,,,,,,,,,
bgcKiVGRSAM,,,,,,,,,,
C1Vh4MxKH64,,,,,,,,,,
cCsdzy04cEo,,,,,,,,,,
M5uNy802KDI,,,,,,,,,,
jiZ914zCZ2w,,,,,,,,,,
fImxxdrc4rc,,,,,,,,,,
ZqDpbnILGjM,,,,,,,,,,
Hx5FZvmPDNs,,,,,,,,,,
_Aes29PzaAg,,,,,,,,,,
vC1rGQHqKY4,,,,,,,,,,
Z-qQvkcxsjQ,,,,,,,,,,
G8rsuleSs-Y,,,,,,,,,,
kZ5laDkPk7Y,,,,,,,,,,
gjESFwtQuIU,,,,,,,,,,
JOqxG3u6Foo,,,,,,,,,,
pyKh38FXD3E,,,,,,,,,,
pTPGsQ-zJxk,,,,,,,,,,
qjD9cE9hE5Y,,,,,,,,,,
9nlK7PSQ_Aw,,,,,,,,,,
j6aqfy7E714,,,,,,,,,,
b4UcOSG9Wok,,,,,,,,,,
Akz96_r1-qA,,,,,,,,,,
f5r-bofA2HA,,,,,,,,,,
k1KzGLorCFs,,,,,,,,,,
9cv0DTiW5ho,,,,,,,,,,
Icy8HeqnwKo,,,,,,,,,,
CC8ZYGk63W0,,,,,,,,,,
WFh8ba4w2vw,,,,,,,,,,
XNUFx1nSs3k,,,,,,,,,,
ktbMfk3tzqY,,,,,,,,,,
UC6WDxcuDos,,,,,,,,,,
-AYwFAcUzSo,,,,,,,,,,
EJUNUPUFuj0,,,,,,,,,,
P874GhIephg,,,,,,,,,,
HhSeS_Tqn9Q,,,,,,,,,,
XSUbf0JxJL4,,,,,,,,,,
QNQl9bgRxFc,,,,,,,,,,
nFhAQKmZtdc,,,,,,,,,,
8P1xuiEysh4,,,,,,,,,,
KqDYlrPnIy4,,,,,,,,,,
fzFakU5LSwQ,,,,,,,,,,
IBnelTCAXKg,,,,,,,,,,
18L7Pi6Xw-w,,,,,,,,,,
E9tji_ww718,,,,,,,,,,
YtXoP85bfF8,,,,,,,,,,
vc_aG1J_DTY,,,,,,,,,,
g7lHjmC-NRQ,,,,,,,,,,
1L_OyngNZMA,,,,,,,,,,
QafkL-gRZ7Q,,,,,,,,,,
wtKUOmbrwuw,,,,,,,,,,
njPiO_XK8Qs,,,,,,,,,,
IyDMlQ0EEHw,,,,,,,,,,
lZwoKiiXsMg,,,,,,,,,,
MuJwmPPu__Y,,,,,,,,,,
O8BsPrP-YRY,,,,,,,,,,
lQPxJ3M0Ves,,,,,,,,,,
kxirwP8Idn0,,,,,,,,,,
3a-Qgxgl_wE,,,,,,,,,,
PTQT_AbRe3c,,,,,,,,,,
GFqMf1EK_GU,,,,,,,,,,
K_UEfqjZcvc,,,,,,,,,,
CTZK_7py_4w,,,,,,,,,,
qiCQlMSpjxw,,,,,,,,,,
b_Gz4Cu-jY0,,,,,,,,,,
XudafKb_VEc,,,,,,,,,,
7TaA0lnH2r8,,,,,,,,,,
YFbgckiFGcc,,,,,,,,,,
r56PXyxKOMI,,,,,,,,,,
B_SryRe15GU,,,,,,,,,,
cCBn7TusbnM,,,,,,,,,,
n5XsHCQ61-8,,,,,,,,,,
qqyXi_PMZak,,,,,,,,,,
me0UHkE__WI,,,,,,,,,,
wk27-3QHFwM,,,,,,,,,,
vq4jQd5-PL0,,,,,,,,,,
7i-UktuERps,,,,,,,,,,
cxSnmTXv-Y4,,,,,,,,,,
mjYavwHWPcU,,,,,,,,,,
vnTFJ7wUawE,,,,,,,,,,
YlUD43I9GwA,,,,,,,,,,
svkcURmMvU4,,,,,,,,,,
yVoYzNINzYU,,,,,,,,,,
GMgECM5nWp8,,,,,,,,,,
G-kDNAz1vy0,,,,,,,,,,
vtcIO82m94s,,,,,,,,,,
JYBN25WI09w,,,,,,,,,,
WKnUfD7Yldg,,,,,,,,,,
Gi60-rBcXA0,,,,,,,,,,
I38lME_HOuM,,,,,,,,,,
TzLgiTQRI5Y,,,,,,,,,,
ONiSypM9h2Y,,,,,,,,,,
f1Atjj8tOwc,,,,,,,,,,
aJgSYx_A3J4,,,,,,,,,,
tjY9YuMSOTU,,,,,,,,,,
EFgX48K86LE,,,,,,,,,,
9o_6VVLL3DI,,,,,,,,,,
gWdQ3rSEC_c,,,,,,,,,,
FKhCNVcfCDg,,,,,,,,,,
fEY4QOAqhYU,,,,,,,,,,
u1ZmZLDCsMk,,,,,,,,,,
wBxnwrz1TmU,,,,,,,,,,
9ka087SgS9Y,,,,,,,,,,
jCqMqtMThMw,,,,,,,,,,
F5O_qJoG0XU,,,,,,,,,,
vMEvRkfYHF8,,,,,,,,,,
XMpykH0EEjE,,,,,,,,,,
l4Kr6O64bYs,,,,,,,,,,
Cvwyf4tOrqc,,,,,,,,,,
S4EajoETOmw,,,,,,,,,,
g_Z2w6mvjbA,,,,,,,,,,
y-1TFoQcdHk,,,,,,,,,,
2hybynw87OI,,,,,,,,,,
0C8veLHkEbo,,,,,,,,,,
0uJFVlaLwJ4,,,,,,,,,,
FTdjk9H7tpc,,,,,,,,,,
CyHcfIABscw,,,,,,,,,,
1TA1MPcKjiY,,,,,,,,,,
025wYGIVcgg,,,,,,,,,,
XjiXOid8V3I,,,,,,,,,,
ggtCRHvvK4w,,,,,,,,,,
nyUZGLhIgio,,,,,,,,,,
qqkFrFb8P7k,,,,,,,,,,
ziBUk_08-ew,,,,,,,,,,
SXdGCoe3g5c,,,,,,,,,,
tlZx0R63PIM,,,,,,,,,,
t19aopTbvPM,,,,,,,,,,
sG75_ht1IWE,,,,,,,,,,
_YYABE0R3uA,,,,,,,,,,
_NeHhqNMxPY,,,,,,,,,,
TzcNkmY6JoE,,,,,,,,,,
iVUGU72Tfbo,,,,,,,,,,
Vipzf5d6rL8,,,,,,,,,,
pW9JI4yi16k,,,,,,,,,,
pfagnqqcZuU,,,,,,,,,,
1U7NeZw1zT0,,,,,,,,,,
1cNUKYCvU9s,,,,,,,,,,
0asdEtc9_3s,,,,,,,,,,
AVSbMXx6wu8,,,,,,,,,,
qXPQaAYNCfo,,,,,,,,,,
p4pw_GFClig,,,,,,,,,,
LWXpVcS3JmQ,,,,,,,,,,
ZltRONHFuP4,,,,,,,,,,
uBjF8EEZxQ8,,,,,,,,,,
aVZzTYUcLdw,,,,,,,,,,
-T_uw2LeDWU,,,,,,,,,,
cFtSCyjMhXo,,,,,,,,,,
Tpe6oPhJ2Fk,,,,,,,,,,
